EndLatitude,EndLongitude,Count(Distinct TripID)
53.47,9.95,7
53.47,9.96,4
53.47,9.97,2
53.48,9.98,3
53.49,9.93,23
53.49,9.95,6
53.49,9.97,1
53.5,9.93,121
53.5,9.94,15
53.5,9.95,169
53.5,9.96,7
53.51,9.93,20
53.51,9.94,11
53.52,9.88,3
53.52,9.89,1
53.52,9.91,18
53.52,9.92,55
53.52,9.95,2
53.52,9.96,5
53.53,9.88,5
53.53,9.9,152
53.53,9.91,202
53.53,9.93,1
53.53,9.94,18
53.53,9.95,40
53.53,9.96,3
53.53,9.98,7
53.53,9.99,35
53.53,10,14
53.54,9.82,94
53.54,9.83,20
53.54,9.9,1
53.54,9.91,5
53.54,9.93,2
53.54,9.97,1
53.56,9.69,1
53.56,9.73,1
53.61,9.54,6
53.61,9.55,4
53.61,9.56,2
53.65,9.5,2
53.65,9.51,1
53.68,9.5,1
