TripID,TripDurationInMinutes
39131,518
37462,529
37450,433
37456,462
37468,513
37474,442
49449,2121
40884,680
37480,527
32667,480
10257,577
32675,821
37502,637
32686,517
37515,519
32697,547
39148,553
20801,2370
24805,604
32717,567
37537,529
32726,517
32735,596
37544,564
37548,537
37556,550
37594,495
50834,605
37642,1741
29252,594
50855,644
32784,573
37606,559
29220,498
50845,673
37617,435
29233,1188
29243,563
37629,495
50869,587
50879,616
37651,542
49727,2672
50886,665
50906,562
50907,562
50908,562
50941,582
50940,582
50939,582
50977,551
50976,551
50975,551
25124,660
50997,608
50998,608
50996,608
83303,721
76453,867
109242,4732
68786,6936
81142,608
68991,837
99370,867
119409,544
78315,597
119446,508
119466,470
57914,1572
107762,2622
119485,466
119508,535
119518,633
119540,751
112077,554
112078,554
365151,783
312635,481
342203,8041
365145,712
300655,779
312629,562
342209,9455
365149,682
283970,677
365155,710
365157,684
312641,566
258521,585
342211,6586
365161,726
365165,736
342217,8201
365167,680
365171,804
365173,622
342221,7257
365175,3402
365177,759
342225,9273
289939,853
365179,641
365183,633
365185,648
365189,725
352129,824
365195,572
365197,608
327957,690
365202,704
365204,764
356214,580
365208,534
360726,998
365212,783
258528,741
365219,815
312697,475
289947,570
365238,663
312707,509
365282,813
312754,578
365263,634
308876,950
312745,561
365277,615
312722,497
365269,771
365271,811
312735,527
308867,916
365275,840
365280,786
365294,605
312764,764
312775,660
360882,1152
365304,815
294877,550
294879,585
119576,491
119585,1454
140337,1003
133907,573
365214,714
133918,562
360747,845
360756,820
365221,817
133930,1003
365225,884
365227,863
365229,760
365232,658
365234,641
133949,523
360775,895
365242,772
360782,762
133962,530
365246,703
360788,846
342321,8893
350853,878
134036,1018
365286,863
365257,842
133985,597
365261,802
365265,646
365300,781
365298,767
360879,585
134061,508
365252,897
360796,1386
133974,788
123163,505
134023,588
133999,539
360832,922
134011,552
365292,655
134050,553
365306,766
365309,682
134072,476
360891,787
312784,642
134084,554
365320,727
365322,784
134098,595
365328,678
365330,758
134108,559
134119,529
134130,522
134142,607
134153,518
134164,585
134175,547
313024,567
313023,567
370750,591
203428,559
370742,541
186544,681
370761,543
203434,576
370767,502
370773,498
370779,632
178205,643
226660,568
149667,588
370795,1712
149678,477
226967,910
370805,593
155608,651
370816,539
139145,3659
370827,507
134726,565
186552,1123
123327,688
227154,537
227149,1680
123773,743
227158,582
365334,676
365337,639
365342,651
365345,711
365350,712
365352,668
365354,678
365357,629
365359,568
365361,615
312976,522
312977,522
312978,522
365363,743
365365,697
313004,504
313003,504
365369,610
365371,623
365377,807
395458,543
470776,634
454735,619
395501,585
470782,499
395518,561
395540,605
395553,679
395574,552
395583,534
395589,657
395604,488
395617,582
395632,658
395642,600
476817,791
395661,479
395684,461
486808,1198
312804,583
312802,583
312803,583
312834,476
312832,476
312833,476
312863,524
312864,524
312862,524
395722,553
395723,553
395724,553
312889,510
312891,510
312890,510
395764,578
395765,578
395766,578
312919,772
395809,520
395810,520
395811,520
312946,555
312947,555
312948,555
395842,582
395844,582
395843,582
580284,8007
395441,579
623487,457
395427,493
560697,600
407023,11008
623512,497
556152,1031
564323,1524
426168,819
577780,6703
395565,569
379987,736
623534,455
390814,5073
557596,732
401109,2598
623555,524
373366,665
413646,2643
623573,457
592251,544
623597,506
557603,1185
592275,852
623615,455
616801,557
411594,757
623633,503
592837,706
623653,554
577684,676
395903,537
395902,537
625424,3387
470770,568
474255,810
693963,546
646975,548
693975,600
689501,572
370785,588
693995,539
447271,535
646993,585
689510,493
689521,1197
647011,650
476798,802
494736,959
502880,2183
689535,523
689542,2864
647050,522
447280,918
688639,507
647062,982
689551,532
688621,483
689560,545
647101,585
498720,1488
647133,528
647141,635
647171,523
647170,523
647279,541
647278,541
647277,541
623675,525
623698,539
559031,895
800541,7765
743575,895
524457,17977
800418,1340
580412,536
817612,638
646953,817
800544,582
743581,588
689493,830
510896,1094
800549,7172
817631,570
546466,1141
817658,1452
694019,729
560709,586
817672,486
510905,607
817679,540
694058,683
510922,1075
817726,520
700368,770
817701,636
514477,800
530473,1131
833036,788
800506,473
739590,769
696688,638
696693,647
700376,555
677465,5659
817739,535
700389,635
817754,485
647169,523
817763,544
817776,544
817788,465
693950,493
976787,574
797413,1735
1006542,523
1006572,540
820282,603
800551,7769
1006605,436
800553,8091
1006640,419
819412,586
1006676,512
714615,495
1006725,439
1006770,528
1006815,498
720234,9150
1006861,461
689714,810
1006895,438
700306,568
1006962,464
834591,774
819420,557
700326,521
834610,690
694794,729
696682,586
700349,490
1007093,447
818046,1236
1007109,462
1007129,491
1007159,458
1102318,10723
1063030,10999
742300,550
1019733,478
1062777,9163
1063057,596
1019739,530
754511,632
743765,849
754519,580
1019746,3644
1019752,506
924271,3025
1133509,469
1092014,517
1030256,776
1073477,12692
1133527,493
1064380,828
1133600,511
735597,612
1075508,626
1133674,601
1133673,601
1133689,496
1133690,496
1142557,631
912630,9684
1006481,446
1062764,10838
1173729,513
954387,588
1019728,551
1081122,532
1142576,831
1173743,470
1081124,409
1142597,1368
1173755,528
1081128,492
1142606,571
898435,553
1081134,608
1173770,685
1199490,1986
1142632,504
1169704,609
1142658,539
1169718,604
1007017,3009
1142672,536
1199501,2444
955169,1617
1142684,631
1142752,950
1081152,12045
1169736,623
1142712,511
1173836,554
1081171,12352
1142722,498
1173817,477
1142732,533
1142744,613
1142761,1009
1173875,498
869473,994
1173891,457
1173908,494
1206300,875
1059962,668
1019723,526
1062762,600
906142,2444
1006508,487
1006444,700
1133414,460
845265,5245
912645,10073
1133432,502
1005847,597
1133444,537
1133466,495
1169688,642
979935,1512
1047302,835
1005854,2751
1173789,478
912684,808
1133553,493
1081018,12915
1142692,505
1142703,517
979940,619
1072557,1036
1007061,442
