StartLatitude,StartLongitude,Count(Distinct TripID)
53.33,8.48,3
53.33,8.49,19
53.34,8.49,12
53.34,8.5,2
53.35,8.49,2
53.35,8.5,1
53.39,8.49,1
53.4,8.49,1
53.48,8.49,1
53.5,8.51,3
53.51,8.52,65
53.51,8.53,36
53.51,8.54,22
53.51,8.55,1
53.51,8.57,1
53.52,8.15,5
53.52,8.55,5
53.52,8.56,3
53.52,8.57,20
53.53,8.16,3
53.53,8.57,128
53.54,8.16,2
53.54,8.56,3
53.55,8.16,10
53.55,8.17,1
53.55,8.55,29
53.55,8.56,3
53.56,8.16,8
53.56,8.17,1
53.56,8.54,17
53.56,8.55,2
53.57,8.53,49
53.57,8.54,28
53.57,8.55,1
53.58,8.15,4
53.58,8.52,265
53.58,8.53,101
53.59,8.15,15
53.59,8.5,3
53.59,8.51,70
53.59,8.52,48
53.6,8.15,1
53.6,8.49,3
53.6,8.5,25
53.6,8.51,17
53.61,8.48,7
53.61,8.49,5
53.62,8.12,1
53.62,8.14,1
53.62,8.45,2
53.62,8.46,3
53.62,8.47,1
53.63,8.1,1
53.63,8.43,1
53.63,8.44,5
53.63,8.45,2
53.64,8.41,1
53.64,8.42,1
53.64,8.43,1
53.65,8.39,2
53.65,8.4,1
53.66,8.38,1
53.66,8.39,1
53.67,8.36,3
53.67,8.37,2
53.68,8.35,1
53.68,8.36,2
53.7,8.32,1
53.73,8.23,1
53.74,8.22,1
53.75,8.19,2
53.75,8.2,1
