
@relation 'AIS'
@attribute AgentLatitude numeric
@attribute AgentRemainingTravelTimeInMinutes numeric
@attribute AgentSOG numeric
@attribute AgentCOG numeric
@attribute Latitude numeric
@attribute Longitude numeric
@attribute WeekdayInt numeric
@attribute WeekOfYearInt numeric
@attribute HourInt numeric
@attribute Length numeric
@attribute Breadth numeric
@attribute Draught numeric
@attribute SOG numeric
@attribute COG numeric
@attribute TripID numeric
@attribute time date 'yyyy-MM-dd HH:mm'
@attribute RemainingTravelTimeInMinutes2 numeric

@data
54.5,323,16.6,26,54.37,10.18,0,15,19,154,24,8.57,10.7,36,393533,'2016-04-11 19:34:00',1296
54.5,319,16.6,26,54.38,10.19,0,15,19,154,24,8.57,10.3,32.6,393533,'2016-04-11 19:38:00',1292
54.5,318,16.6,26,54.38,10.19,0,15,19,154,24,8.57,10,22.8,393533,'2016-04-11 19:39:00',1291
54.5,310,16.6,26,54.4,10.2,0,15,19,154,24,8.57,10.6,22.3,393533,'2016-04-11 19:47:00',1283
54.5,308,16.6,26,54.41,10.21,0,15,19,154,24,8.57,11.2,26.9,393533,'2016-04-11 19:49:00',1281
54.5,307,16.6,26,54.41,10.21,0,15,19,154,24,8.57,12.6,28,393533,'2016-04-11 19:50:00',1280
54.5,303,16.6,26,54.42,10.22,0,15,19,154,24,8.57,15.1,30.8,393533,'2016-04-11 19:54:00',1276
54.5,301,16.6,26,54.43,10.23,0,15,19,154,24,8.57,15.8,32,393533,'2016-04-11 19:56:00',1274
54.5,294,16.6,26,54.45,10.26,0,15,20,154,24,8.57,10.5,32.9,393533,'2016-04-11 20:03:00',1267
54.5,290,16.6,26,54.46,10.27,0,15,20,154,24,8.57,8.1,29.5,393533,'2016-04-11 20:07:00',1263
54.5,282,16.6,26,54.48,10.28,0,15,20,154,24,8.57,8.6,52,393533,'2016-04-11 20:15:00',1255
54.5,279,16.6,26,54.48,10.29,0,15,20,154,24,8.57,8.4,50.5,393533,'2016-04-11 20:18:00',1252
54.5,255,16.6,26,54.5,10.43,0,15,20,154,24,8.57,13.4,70.8,393533,'2016-04-11 20:42:00',1228
54.5,228,16.6,26,54.55,10.62,0,15,21,154,24,8.57,16.6,66,393533,'2016-04-11 21:09:00',1201
54.5,185,16.6,26,54.58,10.95,0,15,21,154,24,8.57,15.8,82.8,393533,'2016-04-11 21:52:00',1158
54.5,179,16.6,26,54.58,10.99,0,15,21,154,24,8.57,16,86.9,393533,'2016-04-11 21:58:00',1152
54.5,175,16.6,26,54.58,11.02,0,15,22,154,24,8.57,16.1,85.8,393533,'2016-04-11 22:02:00',1148
54.5,158,16.6,26,54.57,11.15,0,15,22,154,24,8.57,15.8,110.1,393533,'2016-04-11 22:19:00',1131
54.5,132,16.6,26,54.53,11.33,0,15,22,154,24,8.57,16.3,111.8,393533,'2016-04-11 22:45:00',1105
54.5,114,16.6,26,54.5,11.46,0,15,23,154,24,8.57,16.6,114.9,393533,'2016-04-11 23:03:00',1087
54.5,133,16.6,26,54.53,11.33,0,15,22,154,24,8.57,16.3,111.8,393533,'2016-04-11 22:44:00',1106
54.5,327,16.6,26,54.36,10.17,0,15,19,154,24,8.57,9.6,56.3,393533,'2016-04-11 19:30:00',1300
54.5,326,16.6,26,54.36,10.17,0,15,19,154,24,8.57,9.9,44.3,393533,'2016-04-11 19:31:00',1299
54.5,325,16.6,26,54.37,10.17,0,15,19,154,24,8.57,10.2,40.3,393533,'2016-04-11 19:32:00',1298
54.5,324,16.6,26,54.37,10.18,0,15,19,154,24,8.57,10.5,35.3,393533,'2016-04-11 19:33:00',1297
54.5,322,16.6,26,54.37,10.18,0,15,19,154,24,8.57,10.7,37.6,393533,'2016-04-11 19:35:00',1295
54.5,321,16.6,26,54.37,10.18,0,15,19,154,24,8.57,10.6,34,393533,'2016-04-11 19:36:00',1294
54.5,320,16.6,26,54.38,10.19,0,15,19,154,24,8.57,10.4,34,393533,'2016-04-11 19:37:00',1293
54.5,317,16.6,26,54.38,10.19,0,15,19,154,24,8.57,10.2,17.1,393533,'2016-04-11 19:40:00',1290
54.5,316,16.6,26,54.39,10.2,0,15,19,154,24,8.57,10.3,16,393533,'2016-04-11 19:41:00',1289
54.5,315,16.6,26,54.39,10.2,0,15,19,154,24,8.57,10.4,16,393533,'2016-04-11 19:42:00',1288
54.5,314,16.6,26,54.39,10.2,0,15,19,154,24,8.57,10.5,16,393533,'2016-04-11 19:43:00',1287
54.5,313,16.6,26,54.4,10.2,0,15,19,154,24,8.57,10.6,14.3,393533,'2016-04-11 19:44:00',1286
54.5,312,16.6,26,54.4,10.2,0,15,19,154,24,8.57,10.6,18.4,393533,'2016-04-11 19:45:00',1285
54.5,311,16.6,26,54.4,10.2,0,15,19,154,24,8.57,10.6,19.3,393533,'2016-04-11 19:46:00',1284
54.5,309,16.6,26,54.41,10.21,0,15,19,154,24,8.57,10.6,25.2,393533,'2016-04-11 19:48:00',1282
54.5,306,16.6,26,54.42,10.21,0,15,19,154,24,8.57,13.7,29.1,393533,'2016-04-11 19:51:00',1279
54.5,304,16.6,26,54.42,10.22,0,15,19,154,24,8.57,14.6,31.2,393533,'2016-04-11 19:53:00',1277
54.5,302,16.6,26,54.43,10.23,0,15,19,154,24,8.57,15.5,32,393533,'2016-04-11 19:55:00',1275
54.5,300,16.6,26,54.43,10.23,0,15,19,154,24,8.57,16.2,32.6,393533,'2016-04-11 19:57:00',1273
54.5,299,16.6,26,54.44,10.24,0,15,19,154,24,8.57,16.5,34,393533,'2016-04-11 19:58:00',1272
54.5,298,16.6,26,54.44,10.24,0,15,19,154,24,8.57,16.8,34,393533,'2016-04-11 19:59:00',1271
54.5,297,16.6,26,54.45,10.25,0,15,20,154,24,8.57,15.8,34,393533,'2016-04-11 20:00:00',1270
54.5,296,16.6,26,54.45,10.25,0,15,20,154,24,8.57,14,33.5,393533,'2016-04-11 20:01:00',1269
54.5,295,16.6,26,54.45,10.25,0,15,20,154,24,8.57,11.9,33,393533,'2016-04-11 20:02:00',1268
54.5,293,16.6,26,54.46,10.26,0,15,20,154,24,8.57,9.5,31.5,393533,'2016-04-11 20:04:00',1266
54.5,292,16.6,26,54.46,10.26,0,15,20,154,24,8.57,8.8,32,393533,'2016-04-11 20:05:00',1265
54.5,291,16.6,26,54.46,10.26,0,15,20,154,24,8.57,8.3,33.2,393533,'2016-04-11 20:06:00',1264
54.5,289,16.6,26,54.46,10.27,0,15,20,154,24,8.57,7.9,30.9,393533,'2016-04-11 20:08:00',1262
54.5,288,16.6,26,54.47,10.27,0,15,20,154,24,8.57,7,27.4,393533,'2016-04-11 20:09:00',1261
54.5,40,16.6,26,54.41,12.01,1,15,0,154,24,8.57,16.4,89.6,393533,'2016-04-12 00:17:00',1013
54.5,287,16.6,26,54.47,10.27,0,15,20,154,24,8.57,6.3,350.6,393533,'2016-04-11 20:10:00',1260
54.5,285,16.6,26,54.47,10.27,0,15,20,154,24,8.57,6.2,27.2,393533,'2016-04-11 20:12:00',1258
54.5,284,16.6,26,54.47,10.27,0,15,20,154,24,8.57,8.1,44,393533,'2016-04-11 20:13:00',1257
54.5,283,16.6,26,54.47,10.27,0,15,20,154,24,8.57,8.8,50.8,393533,'2016-04-11 20:14:00',1256
54.5,281,16.6,26,54.48,10.28,0,15,20,154,24,8.57,8.6,52,393533,'2016-04-11 20:16:00',1254
54.5,280,16.6,26,54.48,10.28,0,15,20,154,24,8.57,8.4,51.2,393533,'2016-04-11 20:17:00',1253
54.5,278,16.6,26,54.48,10.29,0,15,20,154,24,8.57,9.9,59.8,393533,'2016-04-11 20:19:00',1251
54.5,277,16.6,26,54.48,10.3,0,15,20,154,24,8.57,11.3,66.3,393533,'2016-04-11 20:20:00',1250
54.5,276,16.6,26,54.48,10.3,0,15,20,154,24,8.57,12.2,75.1,393533,'2016-04-11 20:21:00',1249
54.5,23,16.6,26,54.41,12.15,1,15,0,154,24,8.57,16.4,67.6,393533,'2016-04-12 00:34:00',996
54.5,275,16.6,26,54.48,10.31,0,15,20,154,24,8.57,12,82.4,393533,'2016-04-11 20:22:00',1248
54.5,274,16.6,26,54.48,10.31,0,15,20,154,24,8.57,10.8,111.6,393533,'2016-04-11 20:23:00',1247
54.5,273,16.6,26,54.48,10.32,0,15,20,154,24,8.57,10.9,115.3,393533,'2016-04-11 20:24:00',1246
54.5,272,16.6,26,54.48,10.32,0,15,20,154,24,8.57,11.1,91.1,393533,'2016-04-11 20:25:00',1245
54.5,271,16.6,26,54.48,10.33,0,15,20,154,24,8.57,11.3,75.5,393533,'2016-04-11 20:26:00',1244
54.5,270,16.6,26,54.48,10.33,0,15,20,154,24,8.57,11.8,66.6,393533,'2016-04-11 20:27:00',1243
54.5,269,16.6,26,54.48,10.34,0,15,20,154,24,8.57,12.6,71.9,393533,'2016-04-11 20:28:00',1242
54.5,268,16.6,26,54.49,10.34,0,15,20,154,24,8.57,13.3,75.1,393533,'2016-04-11 20:29:00',1241
54.5,267,16.6,26,54.49,10.35,0,15,20,154,24,8.57,13.7,72.9,393533,'2016-04-11 20:30:00',1240
54.5,266,16.6,26,54.49,10.36,0,15,20,154,24,8.57,13.8,72.9,393533,'2016-04-11 20:31:00',1239
54.5,265,16.6,26,54.49,10.36,0,15,20,154,24,8.57,14,72.7,393533,'2016-04-11 20:32:00',1238
54.5,264,16.6,26,54.49,10.37,0,15,20,154,24,8.57,14.1,70.9,393533,'2016-04-11 20:33:00',1237
54.5,260,16.6,26,54.5,10.39,0,15,20,154,24,8.57,12.4,70.6,393533,'2016-04-11 20:37:00',1233
54.5,259,16.6,26,54.5,10.4,0,15,20,154,24,8.57,12.1,70.6,393533,'2016-04-11 20:38:00',1232
54.5,259,16.6,26,54.5,10.4,0,15,20,154,24,8.57,12.1,71.1,393533,'2016-04-11 20:38:00',1232
54.5,257,16.6,26,54.5,10.41,0,15,20,154,24,8.57,12.6,71.1,393533,'2016-04-11 20:40:00',1230
54.5,257,16.6,26,54.5,10.42,0,15,20,154,24,8.57,12.9,70.7,393533,'2016-04-11 20:40:00',1230
54.5,4,16.6,26,54.48,12.23,1,15,0,154,24,8.57,16.6,31,393533,'2016-04-12 00:53:00',977
54.5,255,16.6,26,54.5,10.42,0,15,20,154,24,8.57,13.2,72.1,393533,'2016-04-11 20:42:00',1228
54.5,254,16.6,26,54.5,10.43,0,15,20,154,24,8.57,13.6,72.3,393533,'2016-04-11 20:43:00',1227
54.5,249,16.6,26,54.51,10.47,0,15,20,154,24,8.57,15.4,66.8,393533,'2016-04-11 20:48:00',1222
54.5,248,16.6,26,54.51,10.47,0,15,20,154,24,8.57,15.6,66.8,393533,'2016-04-11 20:49:00',1221
54.5,247,16.6,26,54.51,10.48,0,15,20,154,24,8.57,15.8,66.9,393533,'2016-04-11 20:50:00',1220
54.5,246,16.6,26,54.52,10.49,0,15,20,154,24,8.57,16.1,66.9,393533,'2016-04-11 20:51:00',1219
54.5,244,16.6,26,54.52,10.49,0,15,20,154,24,8.57,16.3,66.9,393533,'2016-04-11 20:53:00',1217
54.5,242,16.6,26,54.52,10.52,0,15,20,154,24,8.57,16.4,64.9,393533,'2016-04-11 20:55:00',1215
54.5,241,16.6,26,54.52,10.52,0,15,20,154,24,8.57,16.5,64.9,393533,'2016-04-11 20:56:00',1214
54.5,240,16.6,26,54.53,10.53,0,15,20,154,24,8.57,16.5,64.9,393533,'2016-04-11 20:57:00',1213
54.5,239,16.6,26,54.53,10.54,0,15,20,154,24,8.57,16.4,64.9,393533,'2016-04-11 20:58:00',1212
54.61,305,17.6,81,54.53,12.27,1,15,1,154,24,8.57,17,21.9,393533,'2016-04-12 01:05:00',965
54.5,238,16.6,26,54.53,10.54,0,15,20,154,24,8.57,16.4,66,393533,'2016-04-11 20:59:00',1211
54.5,237,16.6,26,54.53,10.55,0,15,21,154,24,8.57,16.5,65.3,393533,'2016-04-11 21:00:00',1210
54.5,236,16.6,26,54.53,10.56,0,15,21,154,24,8.57,16.4,64.9,393533,'2016-04-11 21:01:00',1209
54.5,235,16.6,26,54.54,10.57,0,15,21,154,24,8.57,16.4,64.9,393533,'2016-04-11 21:02:00',1208
54.5,234,16.6,26,54.54,10.57,0,15,21,154,24,8.57,16.4,66,393533,'2016-04-11 21:03:00',1207
54.5,233,16.6,26,54.54,10.58,0,15,21,154,24,8.57,16.5,64.9,393533,'2016-04-11 21:04:00',1206
54.5,231,16.6,26,54.54,10.59,0,15,21,154,24,8.57,16.5,64.9,393533,'2016-04-11 21:06:00',1204
54.5,226,16.6,26,54.55,10.62,0,15,21,154,24,8.57,16.6,66,393533,'2016-04-11 21:11:00',1199
54.5,225,16.6,26,54.55,10.63,0,15,21,154,24,8.57,16.6,66,393533,'2016-04-11 21:12:00',1198
54.5,223,16.6,26,54.56,10.65,0,15,21,154,24,8.57,16.6,78.1,393533,'2016-04-11 21:14:00',1196
54.61,294,17.6,81,54.58,12.32,1,15,1,154,24,8.57,16.6,45.9,393533,'2016-04-12 01:16:00',954
54.5,222,16.6,26,54.56,10.65,0,15,21,154,24,8.57,16.6,85.3,393533,'2016-04-11 21:15:00',1195
54.5,222,16.6,26,54.56,10.66,0,15,21,154,24,8.57,16.6,86,393533,'2016-04-11 21:15:00',1195
54.5,219,16.6,26,54.56,10.68,0,15,21,154,24,8.57,16.7,86.6,393533,'2016-04-11 21:18:00',1192
54.5,218,16.6,26,54.56,10.69,0,15,21,154,24,8.57,16.7,88,393533,'2016-04-11 21:19:00',1191
54.5,214,16.6,26,54.56,10.72,0,15,21,154,24,8.57,16.8,87,393533,'2016-04-11 21:23:00',1187
54.5,213,16.6,26,54.56,10.73,0,15,21,154,24,8.57,16.8,87,393533,'2016-04-11 21:24:00',1186
54.5,212,16.6,26,54.56,10.74,0,15,21,154,24,8.57,16.9,84.6,393533,'2016-04-11 21:25:00',1185
54.5,211,16.6,26,54.56,10.75,0,15,21,154,24,8.57,17,80.6,393533,'2016-04-11 21:26:00',1184
54.5,210,16.6,26,54.56,10.76,0,15,21,154,24,8.57,17.1,80,393533,'2016-04-11 21:27:00',1183
54.5,209,16.6,26,54.56,10.76,0,15,21,154,24,8.57,17.2,78.9,393533,'2016-04-11 21:28:00',1182
54.5,208,16.6,26,54.56,10.77,0,15,21,154,24,8.57,17.3,78,393533,'2016-04-11 21:29:00',1181
54.5,206,16.6,26,54.56,10.79,0,15,21,154,24,8.57,17.4,77.6,393533,'2016-04-11 21:31:00',1179
54.5,205,16.6,26,54.57,10.8,0,15,21,154,24,8.57,17.3,77,393533,'2016-04-11 21:32:00',1178
54.5,204,16.6,26,54.57,10.81,0,15,21,154,24,8.57,17.2,78,393533,'2016-04-11 21:33:00',1177
54.5,203,16.6,26,54.57,10.81,0,15,21,154,24,8.57,17.2,76.6,393533,'2016-04-11 21:34:00',1176
54.5,202,16.6,26,54.57,10.82,0,15,21,154,24,8.57,17.2,78,393533,'2016-04-11 21:35:00',1175
54.5,201,16.6,26,54.57,10.83,0,15,21,154,24,8.57,17,77.9,393533,'2016-04-11 21:36:00',1174
54.5,200,16.6,26,54.57,10.84,0,15,21,154,24,8.57,17,77.9,393533,'2016-04-11 21:37:00',1173
54.5,198,16.6,26,54.57,10.85,0,15,21,154,24,8.57,17,77.9,393533,'2016-04-11 21:39:00',1171
54.5,197,16.6,26,54.57,10.86,0,15,21,154,24,8.57,16.9,81.2,393533,'2016-04-11 21:40:00',1170
54.5,194,16.6,26,54.57,10.88,0,15,21,154,24,8.57,16.6,82.9,393533,'2016-04-11 21:43:00',1167
54.5,193,16.6,26,54.58,10.89,0,15,21,154,24,8.57,16.5,82.9,393533,'2016-04-11 21:44:00',1166
54.5,192,16.6,26,54.58,10.89,0,15,21,154,24,8.57,16.5,84.2,393533,'2016-04-11 21:45:00',1165
54.5,192,16.6,26,54.58,10.9,0,15,21,154,24,8.57,16.4,85.6,393533,'2016-04-11 21:45:00',1165
54.5,191,16.6,26,54.58,10.91,0,15,21,154,24,8.57,16.3,82.9,393533,'2016-04-11 21:46:00',1164
54.5,190,16.6,26,54.58,10.92,0,15,21,154,24,8.57,16.2,82.9,393533,'2016-04-11 21:47:00',1163
54.5,189,16.6,26,54.58,10.92,0,15,21,154,24,8.57,16,82.9,393533,'2016-04-11 21:48:00',1162
54.5,187,16.6,26,54.58,10.94,0,15,21,154,24,8.57,15.9,83.1,393533,'2016-04-11 21:50:00',1160
54.5,184,16.6,26,54.58,10.95,0,15,21,154,24,8.57,15.8,83.9,393533,'2016-04-11 21:53:00',1157
54.5,182,16.6,26,54.58,10.97,0,15,21,154,24,8.57,15.8,84.1,393533,'2016-04-11 21:55:00',1155
54.5,181,16.6,26,54.58,10.98,0,15,21,154,24,8.57,15.9,86.1,393533,'2016-04-11 21:56:00',1154
54.5,172,16.6,26,54.58,11.05,0,15,22,154,24,8.57,16.1,88.5,393533,'2016-04-11 22:05:00',1145
54.5,171,16.6,26,54.58,11.05,0,15,22,154,24,8.57,16.1,91.2,393533,'2016-04-11 22:06:00',1144
54.5,169,16.6,26,54.58,11.07,0,15,22,154,24,8.57,16.1,90.4,393533,'2016-04-11 22:08:00',1142
54.5,168,16.6,26,54.58,11.08,0,15,22,154,24,8.57,16.1,94.2,393533,'2016-04-11 22:09:00',1141
54.5,167,16.6,26,54.58,11.08,0,15,22,154,24,8.57,16.1,93.8,393533,'2016-04-11 22:10:00',1140
54.5,166,16.6,26,54.58,11.09,0,15,22,154,24,8.57,16,93.8,393533,'2016-04-11 22:11:00',1139
54.5,165,16.6,26,54.58,11.1,0,15,22,154,24,8.57,16,95.1,393533,'2016-04-11 22:12:00',1138
54.5,164,16.6,26,54.58,11.11,0,15,22,154,24,8.57,15.9,96.9,393533,'2016-04-11 22:13:00',1137
