TripID,Latitude,Longitude
29165,55.76,17.5
29165,55.73,16.96
29165,55.72,16.89
29165,55.74,17.09
29165,55.74,17.1
29165,55.74,17.11
29165,55.76,17.69
29165,55.76,17.42
29165,55.76,17.44
29165,55.76,17.49
29165,55.71,16.75
29165,55.71,16.76
29165,55.76,17.51
29165,55.71,16.77
29165,55.72,16.78
29165,55.72,16.79
29165,55.72,16.8
29165,55.72,16.81
29165,55.72,16.82
29165,55.72,16.83
29165,55.72,16.84
29165,55.72,16.85
29165,55.72,16.86
29165,55.72,16.87
29165,55.72,16.88
29165,55.73,16.89
29165,55.73,16.9
29165,55.76,17.53
29165,55.73,16.92
29165,55.73,16.93
29165,55.73,16.94
29165,55.76,17.56
29165,55.73,16.95
29165,55.76,17.57
29165,55.73,16.97
29165,55.73,16.98
29165,55.73,16.99
29165,55.73,17
29165,55.74,17.01
29165,55.74,17.02
29165,55.74,17.04
29165,55.76,17.59
29165,55.76,17.61
29165,55.76,17.63
29165,55.74,17.05
29165,55.74,17.06
29165,55.74,17.07
29165,55.74,17.08
29165,55.76,18.01
29165,55.76,18.1
29165,55.76,18.11
29165,55.76,18.13
29165,55.76,18.15
29165,55.76,17.67
29165,55.74,17.12
29165,55.75,17.13
29165,55.76,17.73
29165,55.75,17.14
29165,55.76,17.82
29165,55.75,18.47
29165,55.76,17.98
29165,55.76,18.03
29165,55.76,18.04
29165,55.76,18.06
29165,55.76,18.07
29165,55.76,18.08
29165,55.76,17.74
29165,55.55,15.17
29165,55.59,15.28
29165,55.59,15.29
29165,55.6,15.42
29165,55.61,15.47
29165,55.61,15.48
29165,55.61,15.49
29165,55.61,15.5
29165,55.62,15.59
29165,55.62,15.6
29165,55.62,15.61
29165,55.62,15.62
29165,55.62,15.63
29165,55.62,15.64
29165,55.62,15.65
29165,55.63,15.73
29165,55.63,15.74
29165,55.63,15.75
29165,55.64,15.79
29165,55.64,15.85
29165,55.45,14.82
29165,55.45,14.83
29165,55.45,14.84
29165,55.46,14.85
29165,55.46,14.86
29165,55.46,14.87
29165,55.47,14.88
29165,55.47,14.89
29165,55.47,14.9
29165,55.48,14.92
29165,55.48,14.93
29165,55.49,14.95
29165,55.49,14.96
