TripID,ID,WeekdayInt,WeekOfYearInt,HourInt,TripDurationInMinutes,RemainingTravelTimeInMinute,shiptype,Length,Breadth,Draught,Latitude,Longitude,SOG,COG,TH
424725,265549390,4,24,17,2307,2286,70,88,12,4.3,54.39,10.2,8.6,14.3,10
424725,265551984,4,24,17,2307,2279,70,88,12,4.3,54.4,10.2,8.7,23.2,20
424725,265575443,4,24,17,2307,2300,70,88,12,4.3,54.36,10.16,8.7,77.9,71
424725,265617661,4,24,18,2307,2257,70,88,12,4.3,54.45,10.25,9,38.5,36
424725,265628278,4,24,18,2307,2249,70,88,12,4.3,54.47,10.27,9.1,39.7,38
424725,265633311,4,24,18,2307,2262,70,88,12,4.3,54.44,10.24,8.9,30.7,28
424725,265635634,4,24,18,2307,2237,70,88,12,4.3,54.49,10.31,9.3,54.1,54
424725,265688376,4,24,19,2307,2215,70,88,12,4.3,54.51,10.4,9.4,67.7,69
424725,265750991,4,24,19,2307,2200,70,88,12,4.3,54.52,10.47,9.4,68.9,69
424725,265753562,4,24,19,2307,2182,70,88,12,4.3,54.54,10.54,9.3,70,69
424725,265782465,4,24,19,2307,2164,70,88,12,4.3,54.55,10.62,9.3,85.4,84
424725,265793119,4,24,19,2307,2170,70,88,12,4.3,54.55,10.59,9.3,86.1,85
424725,265827519,4,24,20,2307,2140,70,88,12,4.3,54.55,10.72,9.4,86.6,84
424725,265840889,4,24,20,2307,2154,70,88,12,4.3,54.55,10.66,9.3,86.4,84
424725,265867743,4,24,20,2307,2106,70,88,12,4.3,54.56,10.87,9,85.3,84
424725,265863323,4,24,20,2307,2119,70,88,12,4.3,54.56,10.82,9.1,86.5,84
424725,265886734,4,24,20,2307,2098,70,88,12,4.3,54.56,10.91,9.1,85.3,84
424725,265906297,4,24,21,2307,2095,70,88,12,4.3,54.56,10.93,9.1,85.4,84
424725,265925198,4,24,20,2307,2124,70,88,12,4.3,54.55,10.8,9.5,87.4,84
424725,265930453,4,24,21,2307,2067,70,88,12,4.3,54.56,11.04,8.9,87.6,82
424725,265936409,4,24,21,2307,2059,70,88,12,4.3,54.57,11.08,9.3,81.6,77
424725,265948878,4,24,21,2307,2057,70,88,12,4.3,54.57,11.09,9.3,81.7,77
424725,265949739,4,24,21,2307,2082,70,88,12,4.3,54.56,10.98,8.9,86.8,84
424725,265956946,4,24,21,2307,2055,70,88,12,4.3,54.57,11.1,9.3,81.7,77
424725,265511680,4,24,17,2307,2305,70,88,12,4.3,54.36,10.14,4.8,103.4,101
424725,265511889,4,24,17,2307,2299,70,88,12,4.3,54.36,10.16,8.7,67.5,61
424725,265523139,4,24,17,2307,2293,70,88,12,4.3,54.37,10.18,8.8,34.7,35
424725,265526074,4,24,17,2307,2304,70,88,12,4.3,54.36,10.14,6.7,101.1,100
424725,265968726,4,24,21,2307,2062,70,88,12,4.3,54.57,11.07,9.2,81.2,77
424725,265534654,4,24,17,2307,2292,70,88,12,4.3,54.37,10.18,8.7,37.4,37
424725,265536168,4,24,17,2307,2298,70,88,12,4.3,54.36,10.17,8.8,54.1,51
424725,265538936,4,24,17,2307,2303,70,88,12,4.3,54.36,10.15,7.8,100.1,95
424725,265540551,4,24,17,2307,2307,70,88,12,4.3,54.36,10.14,0.6,91.8,103
424725,265977258,4,24,21,2307,2052,70,88,12,4.3,54.57,11.11,9.3,82.2,77
424725,265547991,4,24,17,2307,2306,70,88,12,4.3,54.36,10.14,2.5,102.3,102
424725,265550419,4,24,17,2307,2297,70,88,12,4.3,54.36,10.17,8.9,49.4,47
424725,265983720,4,24,22,2307,2028,70,88,12,4.3,54.55,11.22,10.3,112.7,111
424725,265554578,4,24,17,2307,2302,70,88,12,4.3,54.36,10.15,8.3,87.4,83
424725,265556678,4,24,17,2307,2291,70,88,12,4.3,54.38,10.19,8.7,37.4,37
424725,265561580,4,24,17,2307,2284,70,88,12,4.3,54.39,10.2,8.6,14.5,13
424725,265990714,4,24,22,2307,2021,70,88,12,4.3,54.55,11.25,9.9,110.8,111
424725,265562427,4,24,17,2307,2301,70,88,12,4.3,54.36,10.16,8.6,82,81
424725,265992199,4,24,21,2307,2051,70,88,12,4.3,54.57,11.12,9.3,82.9,78
424725,265993653,4,24,22,2307,2027,70,88,12,4.3,54.55,11.22,10.3,112,110
424725,265564579,4,24,17,2307,2278,70,88,12,4.3,54.4,10.21,8.7,20.5,16
424725,265565851,4,24,17,2307,2296,70,88,12,4.3,54.37,10.17,8.9,45,43
424725,265569957,4,24,17,2307,2283,70,88,12,4.3,54.39,10.2,8.5,15.2,11
424725,266001870,4,24,22,2307,2026,70,88,12,4.3,54.55,11.22,10.2,111.9,111
424725,266002226,4,24,22,2307,2012,70,88,12,4.3,54.54,11.29,9.6,112.6,110
424725,265571503,4,24,17,2307,2290,70,88,12,4.3,54.38,10.19,8.7,38.3,37
424725,266005240,4,24,22,2307,2032,70,88,12,4.3,54.56,11.2,10.2,114.1,110
424725,265573725,4,24,18,2307,2277,70,88,12,4.3,54.41,10.21,8.7,17.4,14
424725,265578537,4,24,17,2307,2282,70,88,12,4.3,54.39,10.2,8.5,10.9,8
424725,266010708,4,24,22,2307,2031,70,88,12,4.3,54.56,11.2,10.2,113.8,111
