TripID,Latitude,Longitude
29165,55.76,17.5
29165,55.73,16.96
29165,55.72,16.89
29165,55.74,17.09
29165,55.74,17.1
29165,55.74,17.11
29165,54.48,10.29
29165,55.76,17.69
29165,54.49,10.3
29165,54.49,10.31
29165,54.49,10.32
29165,54.36,10.14
29165,54.5,10.39
29165,54.51,10.4
29165,54.51,10.41
29165,54.36,10.15
29165,54.36,10.16
29165,54.52,10.48
29165,54.53,10.52
29165,54.36,10.17
29165,54.37,10.17
29165,54.37,10.18
29165,55.76,17.42
29165,54.38,10.18
29165,55.76,17.44
29165,54.38,10.19
29165,54.39,10.19
29165,55.76,17.49
29165,54.4,10.2
29165,54.41,10.2
29165,55.71,16.75
29165,54.41,10.21
29165,55.71,16.76
29165,55.76,17.51
29165,55.71,16.77
29165,55.72,16.78
29165,55.72,16.79
29165,55.72,16.8
29165,55.72,16.81
29165,55.72,16.82
29165,55.72,16.83
29165,55.72,16.84
29165,55.72,16.85
29165,55.72,16.86
29165,55.72,16.87
29165,55.72,16.88
29165,55.73,16.89
29165,54.42,10.21
29165,54.42,10.22
29165,55.73,16.9
29165,55.76,17.53
29165,55.73,16.92
29165,55.73,16.93
29165,54.43,10.22
29165,54.43,10.23
29165,55.73,16.94
29165,55.76,17.56
29165,55.73,16.95
29165,54.44,10.23
29165,55.76,17.57
29165,55.73,16.97
29165,55.73,16.98
29165,55.73,16.99
29165,55.73,17
29165,54.44,10.24
29165,55.74,17.01
29165,55.74,17.02
29165,55.74,17.04
29165,54.45,10.24
29165,54.45,10.25
29165,54.46,10.25
29165,55.76,17.59
29165,55.76,17.61
29165,54.46,10.26
29165,54.47,10.26
29165,55.76,17.63
29165,55.74,17.05
29165,55.74,17.06
29165,55.74,17.07
29165,54.47,10.27
29165,55.74,17.08
29165,54.57,10.9
29165,54.57,10.91
29165,54.48,10.28
29165,54.58,11
29165,54.58,11.01
29165,54.59,11.09
29165,54.59,11.1
29165,54.59,11.11
29165,54.58,11.17
29165,54.54,10.53
29165,54.57,11.19
29165,54.57,11.2
29165,54.54,10.58
29165,54.54,10.59
29165,54.54,10.6
29165,54.55,10.61
29165,54.55,10.62
29165,54.56,11.25
29165,54.55,11.25
29165,54.55,11.27
