TripID,EndLatitude,EndLongitude
32680,54.54,18.51
32692,54.54,18.51
32702,54.54,18.5
23834,54.38,18.67
29139,54.54,18.5
19002,54.45,18.68
32722,54.54,18.51
29152,54.38,18.65
32731,54.54,18.51
32740,54.54,18.51
29165,54.54,18.5
29178,54.38,18.71
28257,54.47,18.67
29190,54.38,18.65
17766,54.37,18.66
29201,54.54,18.5
32768,54.54,18.5
29226,54.54,18.51
19585,54.64,18.92
55365,54.38,18.67
5944,54.52,18.52
92944,54.4,18.65
80872,54.38,18.71
77803,54.38,18.65
82436,54.38,18.67
80882,54.38,18.71
80892,54.38,18.71
76427,54.51,18.59
73440,54.44,18.64
79913,54.45,18.67
55869,54.45,18.64
107795,54.54,18.51
82461,54.52,18.61
280332,54.54,18.51
312671,54.38,18.71
266438,54.45,18.66
300722,54.38,18.71
274315,54.53,18.54
265994,54.52,18.59
295610,54.54,18.5
310973,54.45,18.66
327945,54.44,18.65
228503,54.38,18.65
260243,54.38,18.65
240295,54.35,18.7
260250,54.38,18.65
353699,54.54,18.5
355581,54.54,18.51
355595,54.54,18.51
324121,54.52,18.6
260278,54.54,18.51
230472,54.44,18.64
355611,54.54,18.51
260296,54.54,18.51
355628,54.54,18.51
323208,54.53,18.54
340988,54.53,18.52
260329,54.38,18.65
330932,54.44,18.64
230494,54.38,18.66
240309,54.35,18.7
260306,54.38,18.65
356280,54.52,18.55
243201,54.37,18.66
344587,54.53,18.52
344597,54.52,18.61
260342,54.38,18.65
260316,54.38,18.65
355656,54.54,18.51
355672,54.54,18.51
228649,54.54,18.5
316307,54.53,18.53
228665,54.38,18.65
208582,54.43,18.64
135978,54.39,18.67
178219,54.53,18.52
193113,54.52,18.56
193676,54.37,18.66
178885,54.54,18.51
199665,54.52,18.65
178896,54.54,18.51
228471,54.52,18.61
121656,54.43,18.64
142686,54.52,18.52
178908,54.54,18.51
122608,54.5,18.75
193130,54.52,18.55
178919,54.54,18.51
370454,54.52,18.55
164039,54.52,18.55
183621,54.44,18.81
121680,54.38,18.67
194426,54.46,18.67
183643,54.45,18.82
121691,54.38,18.66
199105,54.54,18.5
149603,54.53,18.52
183671,54.38,18.71
183728,54.38,18.71
183770,54.43,18.82
183769,54.43,18.82
183783,54.38,18.71
183784,54.38,18.71
393518,54.54,18.5
393533,54.54,18.5
456217,54.51,18.6
393541,54.54,18.5
413659,54.54,18.51
413650,54.54,18.51
419132,54.54,18.5
517159,54.38,18.65
393562,54.54,18.5
413711,54.54,18.51
413675,54.54,18.51
419145,54.54,18.51
413683,54.59,18.88
413727,54.54,18.51
413667,54.54,18.5
413702,54.54,18.51
413691,54.54,18.51
413719,54.54,18.51
413733,54.54,18.51
370433,54.38,18.66
393497,54.54,18.5
546870,54.52,18.55
419113,54.54,18.5
616843,54.53,18.52
533582,54.37,18.66
388716,54.54,18.5
623592,54.54,18.5
399474,54.45,18.67
594819,54.53,18.53
424725,54.44,18.65
592269,54.54,18.5
407165,54.44,18.65
380024,54.37,18.66
374745,54.53,18.52
623627,54.54,18.5
533638,54.44,18.65
689505,54.54,18.5
623943,54.54,18.51
689516,54.54,18.5
437917,54.45,18.66
623966,54.54,18.51
623988,54.54,18.51
689530,54.54,18.5
