TripID,StartLatitude,StartLongitude
32680,54.36,10.14
32692,54.36,10.14
32702,54.36,10.14
23834,54.36,10.14
29139,54.36,10.14
19002,54.36,10.14
32722,54.36,10.14
29152,54.36,10.14
32731,54.36,10.14
32740,54.36,10.14
29165,54.36,10.14
29178,54.36,10.13
28257,54.36,10.14
29190,54.36,10.14
17766,54.36,10.14
29201,54.36,10.13
32768,54.36,10.14
29226,54.36,10.14
19585,54.36,10.14
55365,54.36,10.15
5944,54.36,10.14
92944,54.36,10.14
80872,54.36,10.14
77803,54.36,10.14
82436,54.36,10.14
80882,54.36,10.14
80892,54.36,10.14
76427,54.36,10.14
73440,54.36,10.14
79913,54.36,10.14
55869,54.36,10.14
107795,54.36,10.14
82461,54.36,10.14
280332,54.36,10.14
312671,54.36,10.14
266438,54.36,10.18
300722,54.36,10.14
274315,54.36,10.14
265994,54.36,10.14
295610,54.36,10.13
310973,54.36,10.14
327945,54.36,10.14
228503,54.36,10.13
260243,54.36,10.14
240295,54.36,10.14
260250,54.36,10.14
353699,54.36,10.14
355581,54.36,10.14
355595,54.36,10.14
324121,54.36,10.14
260278,54.36,10.14
230472,54.36,10.14
355611,54.36,10.14
260296,54.36,10.13
355628,54.36,10.13
323208,54.36,10.13
340988,54.36,10.14
260329,54.36,10.14
330932,54.36,10.14
230494,54.36,10.14
240309,54.36,10.14
260306,54.36,10.14
356280,54.36,10.14
243201,54.36,10.14
344587,54.36,10.14
344597,54.36,10.14
260342,54.36,10.14
260316,54.36,10.14
355656,54.36,10.14
355672,54.36,10.14
228649,54.36,10.14
316307,54.36,10.14
228665,54.36,10.14
208582,54.36,10.14
135978,54.36,10.14
178219,54.36,10.13
193113,54.36,10.14
193676,54.36,10.14
178885,54.36,10.14
199665,54.36,10.14
178896,54.36,10.14
228471,54.36,10.14
121656,54.36,10.14
142686,54.36,10.13
178908,54.36,10.14
122608,54.36,10.14
193130,54.36,10.14
178919,54.36,10.14
370454,54.49,10.34
164039,54.36,10.14
183621,54.36,10.14
121680,54.36,10.14
194426,54.36,10.14
183643,54.36,10.14
121691,54.36,10.14
199105,54.36,10.14
149603,54.36,10.14
183671,54.36,10.14
183728,54.36,10.14
183770,54.36,10.14
183769,54.36,10.14
183783,54.36,10.14
183784,54.36,10.14
393518,54.36,10.14
393533,54.36,10.14
456217,54.36,10.14
393541,54.36,10.14
413659,54.36,10.14
413650,54.36,10.14
419132,54.36,10.14
517159,54.36,10.13
393562,54.36,10.14
413711,54.36,10.14
413675,54.36,10.14
419145,54.36,10.14
413683,54.36,10.14
413727,54.36,10.14
413667,54.36,10.14
413702,54.36,10.14
413691,54.36,10.14
413719,54.36,10.14
413733,54.36,10.14
370433,54.36,10.14
393497,54.36,10.14
546870,54.36,10.14
419113,54.36,10.14
616843,54.36,10.14
533582,54.36,10.14
388716,54.36,10.14
623592,54.36,10.14
399474,54.36,10.14
594819,54.36,10.14
424725,54.36,10.14
592269,54.36,10.14
407165,54.36,10.14
380024,54.36,10.14
374745,54.36,10.14
623627,54.36,10.14
533638,54.36,10.14
689505,54.36,10.14
623943,54.36,10.14
689516,54.37,10.17
437917,54.36,10.14
623966,54.36,10.14
623988,54.36,10.14
689530,54.36,10.14
624013,54.36,10.14
448034,54.36,10.14
641834,54.36,10.13
689538,54.36,10.14
665531,54.36,10.14
624032,54.36,10.14
689545,54.36,10.14
624098,54.36,10.14
688644,54.36,10.14
624054,54.36,10.13
689554,54.36,10.14
517218,54.36,10.14
523606,54.36,10.14
504580,54.36,10.14
688625,54.36,10.14
430177,54.36,10.14
624074,54.36,10.14
473272,54.36,10.14
665635,54.36,10.14
623669,54.36,10.14
623679,54.36,10.14
623692,54.36,10.14
647398,54.36,10.14
647399,54.36,10.14
731339,54.36,10.14
737452,54.36,10.14
822824,54.36,10.13
722532,54.36,10.14
665493,54.36,10.14
800454,54.36,10.14
822832,54.36,10.13
719625,54.36,10.14
822841,54.36,10.14
833021,54.36,10.14
822850,54.36,10.14
799900,54.36,10.14
817667,54.36,10.14
771792,54.36,10.14
