TripID,TripDurationInMinutes
32680,1391
32692,1444
32702,1302
23834,1761
29139,1867
19002,1778
32722,1590
32731,2030
32740,1421
29165,3171
29178,3968
28257,1951
29190,1384
17766,6547
29201,7370
32768,1404
29226,1500
19585,2556
55365,1734
5944,1941
92944,2592
80872,7588
77803,1653
82436,1844
80882,8495
80892,7070
76427,2070
73440,1886
79913,1973
55869,1987
107795,2120
82461,4840
280332,5879
266438,7117
300722,7237
274315,1241
265994,2389
295610,5916
310973,2034
327945,7102
228503,1601
240295,2533
260250,1525
353699,2866
355581,3587
260278,1431
230472,2066
355611,2840
260296,6974
323208,2064
340988,3665
260329,7594
330932,2797
230494,1848
240309,2440
356280,2107
243201,3297
344587,1622
344597,1961
355656,2590
228649,1265
228665,4921
208582,2376
135978,1967
178219,2147
193113,2513
193676,6056
178885,8028
199665,2796
178896,8308
228471,1771
121656,1945
142686,2276
122608,2144
193130,8339
370454,2024
164039,3988
183621,1741
121680,1759
194426,1949
183643,1796
121691,1785
199105,2261
183671,1721
183728,1379
183770,1614
183769,1614
183783,1712
183784,1712
393518,1290
393533,1311
456217,7031
393541,1211
413659,2060
413650,2049
517159,1801
393562,1232
413711,1684
413675,1247
419145,8609
413683,1835
413727,1425
413667,1356
413702,1994
413691,1972
413719,2010
413733,1462
370433,2097
393497,1251
546870,5475
419113,8334
533582,1853
388716,2446
623592,1442
594819,2190
424725,2307
592269,7891
407165,2334
380024,2609
374745,2224
623627,4908
533638,2041
689516,1339
437917,1705
689530,1409
448034,1990
641834,2172
689538,1279
665531,2217
688644,1407
689554,1427
523606,2510
504580,2209
688625,8005
430177,2252
473272,2133
665635,2365
623679,1623
623692,1388
647398,1587
647399,1587
737452,6963
822824,1615
722532,1404
665493,2320
800454,1918
822832,1482
719625,2401
822841,1500
833021,2073
822850,1629
799900,2928
817667,6087
771792,1763
634848,2555
822859,1692
822868,1525
646698,2040
832227,1404
822877,1613
800467,2033
770792,2361
645995,1864
741254,2116
799910,4941
751171,1703
800502,1328
743663,7570
817721,1524
653465,2593
800489,1567
722632,1302
700364,5528
566736,2046
817589,1989
698641,2293
688665,1494
817742,1536
817758,1357
603251,2026
665659,2237
665728,2329
535705,1927
665761,2433
719608,3095
827699,2176
737944,1580
976495,1655
822885,1567
800473,1933
831361,2422
698606,3231
706092,1979
820263,6464
700342,1559
1007947,2629
743595,1393
722552,2848
1072601,1504
944366,2502
965494,2143
751190,1462
754383,1817
965807,1377
965816,7045
771862,1925
1133657,1382
1133681,1521
1170731,5357
887590,2285
887598,2051
1174429,1476
1173774,1319
1019076,2408
887609,1896
1173936,2209
886651,2149
1199499,1388
1007893,1605
1199505,2236
943297,1907
1171103,1592
943311,1799
1199516,1426
941540,2029
1199511,1591
1007908,2606
1199534,1330
976930,6464
1173858,1691
965828,1636
1173869,1400
893711,2601
1173879,1650
965844,1649
1173886,1468
1173902,1502
1199485,1518
845512,1179
893479,2205
841386,2046
845532,1168
845545,1455
851452,1192
841404,1854
1170717,1933
924916,2371
941520,1908
1007880,1517
845574,1192
941534,2111
1056237,2450
845611,1178
865345,1522
893725,2554
1008001,1773
1170696,2331
1222180,1417
1169758,1973
1203167,2231
1154282,4556
1113967,2530
1213337,2264
1118235,2134
1162801,1932
845617,1144
1235695,1838
1312588,1616
1312595,1857
1312205,1599
1125303,1569
991879,8257
1180841,1867
1315821,5568
991917,1903
1315855,8634
992035,4530
1312120,2096
1312210,1968
1312609,2794
1312221,2394
1312647,3296
1312227,1764
1312234,2046
1511855,1448
1443565,2584
1486737,2531
1511825,1888
1511841,1345
1495355,2424
1495369,1953
1541862,1507
1541869,1307
1511869,1300
1541874,1742
1315813,1439
1541749,1878
1541755,1869
1541761,1267
1541767,1405
1541774,1881
1541789,1280
1541795,1335
1541801,1454
1541807,1568
1541813,1243
1541819,1411
1400271,3635
1541825,1668
1541848,1519
1511882,1518
1541880,1834
1511894,1669
1541902,2021
1541909,2012
1541923,2003
1541929,1978
1590747,1409
1541936,1854
1527167,2244
1541943,1905
1541949,2054
1541957,1766
1541986,1612
1542012,1590
1542037,1616
1542047,1456
1542055,1484
1542066,1302
1542074,1333
1430520,2594
1586231,1518
1586239,1343
1463619,1902
1430531,1382
1586253,1362
1486732,2402
1495174,7710
1580732,2247
1475568,1820
1495344,2232
1508596,2048
1511945,1560
1486871,2155
1586260,1437
1604273,2231
1586278,1405
1586269,1564
1565250,2264
1586288,1296
1566111,5204
1586307,1330
1541742,1866
1541781,1433
1644360,1992
1665827,2200
1686030,7710
1644381,1837
1702505,1888
1633420,3185
1685944,2424
1644443,1909
1685958,1953
1633466,2840
1644452,2211
1633501,2723
1542023,1925
1542029,1599
1644481,1880
1633539,3485
1660516,2079
1702535,1448
1780300,2403
1702549,1300
1803168,2584
1789950,2594
1789961,1382
1644345,1796
1660361,2291
1647736,2152
1702521,1345
1612449,2432
1702562,1518
1702574,1669
1633350,3392
1650619,2162
1717891,2244
1752272,2172
1633571,1587
1672304,2352
1855461,1835
1855483,1936
1919036,2190
1665810,2044
1677413,2402
1677418,2531
1834184,1820
1685933,2232
1893751,1448
1672311,2241
1699301,2048
1893774,1815
1702625,1560
1893796,3131
1929055,1563
1878518,2047
1677552,2155
1907549,2694
1909886,1881
1992490,3397
1993355,1616
1761366,1451
1993364,1838
1992503,1565
1855434,1980
1822998,1902
1998848,5546
1998836,1439
1998880,8098
1998897,8608
1866491,1519
1772216,2095
1778056,2241
1992358,1963
1669988,2888
1992367,2071
1992374,2523
1992383,1507
1992512,1968
1993389,2794
1992529,2394
1993444,3268
1992538,1764
1992546,2024
1978058,2158
1907461,2605
1893675,1492
1905145,2125
1907538,4191
1967890,1790
1978098,1985
2003163,2921
1998825,3123
2022611,2243
2072716,2371
2101896,2271
1993462,2283
2183472,3112
2183480,2996
2183488,1994
2183505,2159
2258835,1801
2263639,1365
2101848,2219
2212067,2216
2235512,1618
2278356,5353
2200956,2480
2195040,2157
2271342,2527
2202640,2140
2201111,2995
2201738,1777
2204049,1894
